distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,63,PE-betting,Deterministic,0.31864557648077607,0.8521568472497165,0.5335112707689404,1.6871107730006638,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,63,PE-betting,Uniformly randomized,0.3256588284857571,0.7123314333148301,0.38667260482907295,1.2227661400500933,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,64,PE-betting,Deterministic,0.1783812795765698,0.8892596461810172,0.7108783666044474,2.247994777810231,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,64,PE-betting,Uniformly randomized,0.25414452282711864,0.8396676615811884,0.5855231387540698,1.8515867411936653,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,65,PE-betting,Deterministic,0.154790120664984,0.7149642598815262,0.5601741392165422,1.7714261662485233,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,65,PE-betting,Uniformly randomized,0.21239857887849212,0.6548123261891305,0.4424137473106384,1.3990351096718103,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,66,PE-betting,Deterministic,0.31790894782170653,0.9373057852499187,0.6193968374282122,1.9587047817781809,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,66,PE-betting,Uniformly randomized,0.3670344608835876,0.868908894713968,0.5018744338303804,1.5870663103114657,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,67,PE-betting,Deterministic,0.15264803683385253,0.9646418620832264,0.8119938252493739,2.567749933780762,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,67,PE-betting,Uniformly randomized,0.16595763759687543,0.8769465913064778,0.7109889537096024,2.2483444849423657,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,68,PE-betting,Deterministic,0.18012422928586602,0.8215854945592582,0.6414612652733922,2.028478629037391,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,68,PE-betting,Uniformly randomized,0.3112221616320312,0.7552548279054463,0.4440326662734151,1.404154580941422,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,69,PE-betting,Deterministic,0.04636033205315471,0.6651389771141112,0.6187786450609565,1.9567498858655217,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,69,PE-betting,Uniformly randomized,0.14718180382624269,0.6316554662771523,0.4844736624509096,1.5320402397084678,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,70,PE-betting,Deterministic,0.1560234627686441,0.8385304571129382,0.6825069943442941,2.1582766211236275,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,70,PE-betting,Uniformly randomized,0.31743847159668803,0.7553824284113944,0.4379439568147063,1.3849003910408915,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,71,PE-betting,Deterministic,0.3299430855549872,0.9065105556510389,0.5765674700960517,1.8232664302645445,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,71,PE-betting,Uniformly randomized,0.4805417754687369,0.8452379493974149,0.36469617392867804,1.1532705635635403,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,72,PE-betting,Deterministic,0.08757179742679,0.6878868550993502,0.6003150576725602,1.8983628959406296,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,72,PE-betting,Uniformly randomized,0.2236074456013739,0.6570150549523532,0.43340760935097933,1.370555200797586,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,73,PE-betting,Deterministic,0.17619142634794116,0.7631384865380824,0.5869470601901412,1.8560895761407887,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,73,PE-betting,Uniformly randomized,0.21293443301692605,0.7299977489747107,0.5170633159577847,1.6350977729458869,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,74,PE-betting,Deterministic,0.27404560102149844,0.8391887457109988,0.5651431446895003,1.787139541248913,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,74,PE-betting,Uniformly randomized,0.3113717739470303,0.7654797309078276,0.4541079569607973,1.4360154476018334,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,75,PE-betting,Deterministic,0.1520574619062245,0.705987028311938,0.5539295664057136,1.751679093151545,False,False,False,0.2,61,1.0,10.0,0.05
"Beta(2,2)",10,75,PE-betting,Uniformly randomized,0.22609506687149405,0.6427391949109733,0.41664412803947926,1.3175444183395792,False,False,False,0.2,61,1.0,10.0,0.05
"Beta(2,2)",10,76,PE-betting,Deterministic,0.13507482083514333,0.8166698520071805,0.6815950311720371,2.155392740357103,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,76,PE-betting,Uniformly randomized,0.19993101386353374,0.7205402278341353,0.5206092139706016,1.646310887017053,False,False,False,0.0,61,1.0,10.0,0.05
