distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,score_evaluations,adjacent_component_width,full_set_diameter,largest_component_width,topology_component_count,topology_scan_points,topology_point_budget_reached
Bernoulli(0.1),0.1,0.09,3000,8,Capped original feedback,0.0830220104118714,0.1141636169289933,0.0311416065171218,1.7056960366377552,2.842826727729592,True,False,local-batched-bisection,0.0023769899853505,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,9,Capped original feedback,0.0809752916949971,0.1122263046419162,0.0312510129469191,1.7116884735913616,2.852814122652269,True,False,local-batched-bisection,0.0021476160036399,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,10,Capped original feedback,0.08710092708508,0.1187476860958269,0.0316467590107469,1.7333643782115968,2.888940630352661,True,False,local-batched-bisection,0.0020643100142478,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,11,Capped original feedback,0.0789247382394191,0.1109669285902475,0.0320421903508283,1.7550230447023067,2.925038407837178,True,False,local-batched-bisection,0.0023228270001709,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,12,Capped original feedback,0.0824017273760719,0.1134045298099093,0.0310028024338373,1.6980934238888803,2.8301557064814675,True,False,local-batched-bisection,0.0022146929986774,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,13,Capped original feedback,0.0889072295511107,0.1209066866010582,0.0319994570499475,1.752682445417398,2.9211374090289968,True,False,local-batched-bisection,0.002239860012196,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,14,Capped original feedback,0.0887854510074057,0.1207047407207631,0.0319192897133574,1.7482914995548466,2.9138191659247443,True,False,local-batched-bisection,0.0020230120280757,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,15,Capped original feedback,0.0867263619452375,0.119046289964653,0.0323199280194154,1.7702353633177088,2.950392272196181,True,False,local-batched-bisection,0.0021208060206845,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,16,Capped original feedback,0.0892328568321615,0.1217328445347255,0.032499987702564,1.780097638333485,2.966829397222475,True,False,local-batched-bisection,0.0023947939625941,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,17,Capped original feedback,0.0797146915932612,0.1112388674260077,0.0315241758327464,1.7266502210354446,2.877750368392408,True,False,local-batched-bisection,0.0021743570105172,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,18,Capped original feedback,0.081308105014866,0.1121020634144691,0.030793958399603,1.6866545650338294,2.811090941723049,True,False,local-batched-bisection,0.002230743994005,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,19,Capped original feedback,0.08379492665077,0.1155886821689165,0.0317937555181464,1.7414157085093176,2.902359514182196,True,False,local-batched-bisection,0.0022489280090667,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,20,Capped original feedback,0.0885484131393853,0.1210982019241558,0.0325497887847704,1.7828253559447451,2.9713755932412425,True,False,local-batched-bisection,0.0022176890051923,31,,,,,,
Bernoulli(0.1),0.1,0.09,3000,21,Capped original feedback,0.0912237620387764,0.1234926826265438,0.0322689205877674,1.7674415712263083,2.945735952043848,True,False,local-batched-bisection,0.0021826340234838,32,,,,,,
Bernoulli(0.1),0.1,0.09,3000,22,Capped original feedback,0.082713910313024,0.1154662919358898,0.0327523816228658,1.7939218226861282,2.9898697044768805,True,False,local-batched-bisection,0.002326103975065,31,,,,,,
