distribution,method,n,reps,mean_width_c1,mean_width_c05,mean_sqrt_n_width_c1,mean_sqrt_n_width_c05,mean_largest_component_width_c1,mean_largest_component_width_c05,width_relative_change,sqrt_n_width_relative_change,largest_component_width_relative_change
Bernoulli(0.5),Efficient betting,10000,30,0.025749624589684217,0.025732495895322057,2.574962458968427,2.5732495895322116,0.025749624589684217,0.025732495895322057,-0.0006652017120677423,-0.0006652017120675202,-0.0006652017120677423
Bernoulli(0.5),Efficient betting,30000,30,0.014873080800069053,0.01487430229987363,2.576093161079686,2.5763047310519798,0.014873080800069053,0.01487430229987363,8.212823025677274e-05,8.212823025588456e-05,8.212823025677274e-05
Bernoulli(0.5),Efficient betting,100000,30,0.008146045457973324,0.008147488210259953,2.5760057570465307,2.5764619953790437,0.008146045457973324,0.008147488210259953,0.0001771107581063358,0.0001771107581047815,0.0001771107581063358
Bernoulli(0.5),Efficient betting,300000,30,0.004703117980575653,0.0047030938367946164,2.5760038085694528,2.5759905844759556,0.004703117980575653,0.0047030938367946164,-5.133569078386024e-06,-5.133569078275002e-06,-5.133569078386024e-06
Bernoulli(0.5),Efficient betting,1000000,30,0.0025758485457851965,0.0025758749943653567,2.5758485457852496,2.5758749943654036,0.0025758485457851965,0.0025758749943653567,1.0267909657857288e-05,1.0267909655414797e-05,1.0267909657857288e-05
Bernoulli(0.5),Efficient betting,3000000,30,0.00148717483185318,0.0014871519267206366,2.575862368507479,2.5758226956541836,0.00148717483185318,0.0014871519267206366,-1.5401775267376294e-05,-1.540177525805042e-05,-1.5401775267376294e-05
Bernoulli(0.5),Efficient betting,10000000,30,0.0008145497952918,0.0008145560681195199,2.575832620746157,2.5758524571691113,0.0008145497952918,0.0008145560681195199,7.700975135138677e-06,7.700975131141874e-06,7.700975135138677e-06
Bernoulli(0.5),STaR betting,1000,30,0.08357122261122003,0.08339178465286416,2.642754102964198,2.6370797764932474,,,-0.0021471261607675096,-0.0021471261607677317,
Bernoulli(0.5),STaR betting,3000,30,0.04786036772717941,0.04787865318369254,2.6214203014668445,2.6224218371674968,,,0.00038205842080785146,0.00038205842080785146,
Bernoulli(0.5),STaR betting,10000,30,0.026208176613334987,0.02620883789746348,2.620817661333505,2.620883789746352,,,2.523197772408281e-05,2.5231977722972587e-05,
Bernoulli(0.5),STaR betting,30000,30,0.01510079525196063,0.01509957362699069,2.6155344611090743,2.615322869457502,,,-8.089805533795236e-05,-8.089805533761929e-05,
Bernoulli(0.5),STaR betting,100000,30,0.008318861519306376,0.00831911243239112,2.6306549940537116,2.630734339737963,,,3.016194994476251e-05,3.0161949944318422e-05,
Bernoulli(0.5),STaR betting,300000,30,0.004791503542040627,0.004791509578064617,2.624414574341584,2.6244178804080796,,,1.2597348488796456e-06,1.2597348482135118e-06,
Bernoulli(0.5),STaR betting,1000000,30,0.0026490680698589603,0.0026490779880749037,2.649068069859008,2.6490779880749526,,,3.744039670516841e-06,3.7440396709609303e-06,
Bernoulli(0.5),STaR betting,3000000,30,0.00151742869292032,0.0015174306016806165,2.628263593000918,2.6282668990707334,,,1.2578912640393014e-06,1.2578912647054352e-06,
Bernoulli(0.5),STaR betting,10000000,30,0.00083301700252919,0.0008330159570577333,2.634231057638661,2.634227751567627,,,-1.25504215819916e-06,-1.2550421591983607e-06,
"Beta(0.5,0.5)",Common-clock Efficient betting,1000,30,0.05762419285953342,0.05755887428339865,1.822236977649369,1.820171422908319,0.05762419285953342,0.05755887428339865,-0.0011335269596572939,-0.0011335269596572939,-0.0011335269596572939
"Beta(0.5,0.5)",Common-clock Efficient betting,3000,30,0.03334253166235983,0.03333564919320666,1.8262456715804731,1.8258687032198204,0.03334253166235983,0.03333564919320666,-0.00020641711381907957,-0.0002064171138193016,-0.00020641711381907957
"Beta(0.5,0.5)",Common-clock Efficient betting,10000,30,0.018233698322270127,0.018227684782639055,1.823369832227017,1.8227684782639106,0.018233698322270127,0.018227684782639055,-0.00032980361552470416,-0.0003298036155243711,-0.00032980361552470416
