distribution,n,rep,method,width,sqrt_n_width
"Beta(2,2)",50,18,Gaffke,0.2133452231716363,1.5085785403842138
"Beta(2,2)",100,18,Gaffke,0.1364903442379593,1.364903442379593
"Beta(2,2)",500,18,Gaffke,0.0536957691883244,1.2006739000923223
"Beta(2,2)",10,19,Gaffke,0.531672808493137,1.6812970448168283
"Beta(2,2)",50,19,Gaffke,0.2055837350292412,1.4536965314083483
"Beta(2,2)",100,19,Gaffke,0.1406717981215914,1.4067179812159147
"Beta(2,2)",500,19,Gaffke,0.0569245306853065,1.2728712019961816
"Beta(2,2)",10,20,Gaffke,0.4591596686107993,1.451990362498247
"Beta(2,2)",50,20,Gaffke,0.1749807675618188,1.2373008732018913
"Beta(2,2)",100,20,Gaffke,0.1298475722382387,1.298475722382388
"Beta(2,2)",500,20,Gaffke,0.0524593407496152,1.173026519709644
"Beta(2,2)",10,21,Gaffke,0.4636613244956225,1.4662258483365889
"Beta(2,2)",50,21,Gaffke,0.1772391959201263,1.2532703732717243
"Beta(2,2)",100,21,Gaffke,0.1188803103495547,1.1888031034955475
"Beta(2,2)",500,21,Gaffke,0.053695575635432,1.2006695721180762
"Beta(2,2)",10,22,Gaffke,0.4597462423957935,1.453845271674575
"Beta(2,2)",50,22,Gaffke,0.171522076945771,1.212844237315555
"Beta(2,2)",100,22,Gaffke,0.1164144183664049,1.1641441836640498
"Beta(2,2)",500,22,Gaffke,0.0535624892342572,1.197693669718998
"Beta(2,2)",10,23,Gaffke,0.5154209071581235,1.6299040202898545
"Beta(2,2)",50,23,Gaffke,0.1747042554640838,1.235345637408006
"Beta(2,2)",100,23,Gaffke,0.1242077796677563,1.2420777966775636
"Beta(2,2)",500,23,Gaffke,0.0534531629136557,1.1952490588730489
"Beta(2,2)",10,24,Gaffke,0.4653905610045501,1.4716941743179182
"Beta(2,2)",50,24,Gaffke,0.1780925896372849,1.2593047781159727
"Beta(2,2)",100,24,Gaffke,0.1207212829024945,1.2072128290249458
"Beta(2,2)",500,24,Gaffke,0.0531411804820528,1.188272919624551
"Beta(2,2)",10,25,Gaffke,0.4564787628637021,1.4435125941451843
"Beta(2,2)",50,25,Gaffke,0.1828769749350642,1.2931354909946624
"Beta(2,2)",100,25,Gaffke,0.1285343270579844,1.2853432705798444
"Beta(2,2)",500,25,Gaffke,0.0537262927306553,1.2013564272479824
"Beta(2,2)",10,26,Gaffke,0.5265926074095993,1.6652320384211938
"Beta(2,2)",50,26,Gaffke,0.191705350281485,1.3555615317378047
"Beta(2,2)",100,26,Gaffke,0.1334395655081198,1.334395655081198
"Beta(2,2)",500,26,Gaffke,0.0568291205411776,1.270737766316029
"Beta(2,2)",10,27,Gaffke,0.4515244959104411,1.4278458264363767
"Beta(2,2)",50,27,Gaffke,0.1703488410867709,1.204548206997253
"Beta(2,2)",100,27,Gaffke,0.1230401441368168,1.230401441368168
"Beta(2,2)",500,27,Gaffke,0.0554581955088521,1.24008295067267
"Beta(2,2)",10,28,Gaffke,0.4965196349682966,1.570132949495203
"Beta(2,2)",50,28,Gaffke,0.188680244766194,1.3341708055011336
"Beta(2,2)",100,28,Gaffke,0.1345898239702376,1.3458982397023769
"Beta(2,2)",500,28,Gaffke,0.0537328277576714,1.20150255489441
"Beta(2,2)",10,29,Gaffke,0.4955079037238641,1.56693357438284
"Beta(2,2)",50,29,Gaffke,0.1791488521592648,1.266773682036024
"Beta(2,2)",100,29,Gaffke,0.1270275609686835,1.270275609686835
"Beta(2,2)",500,29,Gaffke,0.0530536542634024,1.1863157738773935
"Beta(2,2)",10,30,Gaffke,0.486086236582262,1.537139646859409
"Beta(2,2)",50,30,Gaffke,0.1832768549502236,1.2959630696984643
"Beta(2,2)",100,30,Gaffke,0.1218642215789209,1.2186422157892092
"Beta(2,2)",500,30,Gaffke,0.051694988095731,1.15593507478097
"Beta(2,2)",10,31,Gaffke,0.4854704262249174,1.5351922835234777
"Beta(2,2)",50,31,Gaffke,0.1947782942754476,1.377290527101179
"Beta(2,2)",100,31,Gaffke,0.1316214193228372,1.3162141932283729
"Beta(2,2)",500,31,Gaffke,0.0537834326497115,1.202634114680366
"Beta(2,2)",10,32,Gaffke,0.4747286476228725,1.5012237970197564
"Beta(2,2)",50,32,Gaffke,0.1845059899787881,1.3046543668353825
"Beta(2,2)",100,32,Gaffke,0.1263868881776711,1.2638688817767112
"Beta(2,2)",500,32,Gaffke,0.0524077876839887,1.171873758117751
"Beta(2,2)",10,33,Gaffke,0.4488763786158287,1.4194717442741185
"Beta(2,2)",50,33,Gaffke,0.1721911053919778,1.21757498282675
"Beta(2,2)",100,33,Gaffke,0.1193621497914823,1.193621497914823
"Beta(2,2)",500,33,Gaffke,0.0534565023689276,1.1953237313630083
