distribution,n,repetition,order_index,width,scaled_midpoint
"Beta(1,5)",5000,8,7,0.010026311501860619,0.0009608983363998976
"Beta(1,5)",5000,9,0,0.00983080267906189,0.005969858873830426
"Beta(1,5)",5000,9,1,0.010020614601671696,-0.005266062885243734
"Beta(1,5)",5000,9,2,0.010025601834058762,-0.003418680904225211
"Beta(1,5)",5000,9,3,0.00986141711473465,0.005144307478623289
"Beta(1,5)",5000,9,4,0.009932092390954494,-0.001998101618830288
"Beta(1,5)",5000,9,5,0.009970706887543201,0.0026455591247590586
"Beta(1,5)",5000,9,6,0.009741156361997128,0.004397682642697881
"Beta(1,5)",5000,9,7,0.010166674852371216,-0.0003721881558463534
Bernoulli(0.5),50,0,0,0.3749804710969329,-0.05178362348021999
Bernoulli(0.5),50,0,1,0.3706322871148586,0.004518530569918774
Bernoulli(0.5),50,0,2,0.37378377839922905,-0.03621523947752626
Bernoulli(0.5),50,0,3,0.3745191674679518,0.03897039845760109
Bernoulli(0.5),50,0,4,0.37449495401233435,-0.01926337858701735
Bernoulli(0.5),50,0,5,0.37374426424503326,-0.012613906517401538
Bernoulli(0.5),50,0,6,0.3698172187432647,0.13043227013071756
Bernoulli(0.5),50,0,7,0.36996699776500463,0.07379688926681699
Bernoulli(0.5),50,1,0,0.36329338792711496,0.08864424882449726
Bernoulli(0.5),50,1,1,0.3749109683558345,0.07461239733144151
Bernoulli(0.5),50,1,2,0.3530638590455055,0.12324310055363878
Bernoulli(0.5),50,1,3,0.38729809783399105,-0.058337047360182415
Bernoulli(0.5),50,1,4,0.3638169663026929,0.13853443488182418
Bernoulli(0.5),50,1,5,0.37851214967668056,0.04377536915158491
Bernoulli(0.5),50,1,6,0.37313265167176723,0.08008507670707252
Bernoulli(0.5),50,1,7,0.3814000766724348,-0.007500170645404935
Bernoulli(0.5),50,2,0,0.37326293624937534,-0.09149182570177083
Bernoulli(0.5),50,2,1,0.372831336222589,-0.09126872728607899
Bernoulli(0.5),50,2,2,0.3711650464683771,-0.09907600621151447
Bernoulli(0.5),50,2,3,0.37389246840029955,-0.16559676905024076
Bernoulli(0.5),50,2,4,0.3753916285932064,-0.13356920435251776
Bernoulli(0.5),50,2,5,0.3756644008681178,-0.2108930539870015
Bernoulli(0.5),50,2,6,0.3759182468056679,-0.1452858701878644
Bernoulli(0.5),50,2,7,0.3711619433015585,-0.07618985258705897
Bernoulli(0.5),50,3,0,0.3666320135816932,-0.057456777106680276
Bernoulli(0.5),50,3,1,0.3651698362082243,-0.01190034404020857
Bernoulli(0.5),50,3,2,0.3631425704807043,-0.003574161676985576
Bernoulli(0.5),50,3,3,0.37245238944888115,-0.13612272069209755
Bernoulli(0.5),50,3,4,0.3583628246560693,0.06563186249115582
Bernoulli(0.5),50,3,5,0.3750160988420248,-0.12927684101569845
Bernoulli(0.5),50,3,6,0.367611481808126,-0.019187596709470407
Bernoulli(0.5),50,3,7,0.35999718960374594,0.01013211528949114
Bernoulli(0.5),50,4,0,0.3747156476601958,-0.1359176890498555
Bernoulli(0.5),50,4,1,0.37939750496298075,-0.06627353192783066
Bernoulli(0.5),50,4,2,0.3749554716050625,-0.11990327943735014
Bernoulli(0.5),50,4,3,0.37229359708726406,-0.1421161371568441
Bernoulli(0.5),50,4,4,0.37992076203227043,-0.024768978339184865
Bernoulli(0.5),50,4,5,0.37688228860497475,-0.08117047053563028
Bernoulli(0.5),50,4,6,0.3788418034091592,-0.07726143265430836
Bernoulli(0.5),50,4,7,0.37820147536695004,-0.06338247214694842
Bernoulli(0.5),50,5,0,0.35575568210333586,0.12037713447952444
Bernoulli(0.5),50,5,1,0.3819950995966792,0.03297410639240581
Bernoulli(0.5),50,5,2,0.369395324960351,0.11880047685301508
Bernoulli(0.5),50,5,3,0.3817502586171031,0.02947817677366399
Bernoulli(0.5),50,5,4,0.3618815541267395,0.15293221308447683
Bernoulli(0.5),50,5,5,0.3743816977366805,0.06978813391755166
Bernoulli(0.5),50,5,6,0.36708010639995337,0.08792897386816559
Bernoulli(0.5),50,5,7,0.37417525239288807,0.025670548161126322
Bernoulli(0.5),50,6,0,0.36781901121139526,-0.0732624805302978
Bernoulli(0.5),50,6,1,0.3681616522371769,-0.07196782812571932
Bernoulli(0.5),50,6,2,0.3679786631837487,0.02093916678660458
Bernoulli(0.5),50,6,3,0.36914886999875307,-0.013065220107903478
Bernoulli(0.5),50,6,4,0.3686362113803625,-0.01347479857192079
Bernoulli(0.5),50,6,5,0.3668931555002928,-0.05229153238573797
Bernoulli(0.5),50,6,6,0.3691926719620824,-0.05677419546073824
Bernoulli(0.5),50,6,7,0.3697030693292618,-0.012819632397264023
Bernoulli(0.5),50,7,0,0.3457918334752321,0.1887877493614246
Bernoulli(0.5),50,7,1,0.3483558055013418,0.10979588222083903
Bernoulli(0.5),50,7,2,0.35021323058754206,0.06986532244616782
Bernoulli(0.5),50,7,3,0.34933759830892086,0.15240799901206792
Bernoulli(0.5),50,7,4,0.351567299105227,0.0600467399335093
Bernoulli(0.5),50,7,5,0.346638354472816,0.13747414898459587
Bernoulli(0.5),50,7,6,0.35142876114696264,0.045258991297855745
Bernoulli(0.5),50,7,7,0.34678297583013773,0.15838350346132407
Bernoulli(0.5),50,8,0,0.3419635435566306,0.2029277732436528
Bernoulli(0.5),50,8,1,0.3444436704739928,0.12362928778015049
Bernoulli(0.5),50,8,2,0.3462706198915839,0.056517873079491944
Bernoulli(0.5),50,8,3,0.34896441269665956,0.07259904922693912
Bernoulli(0.5),50,8,4,0.34409829042851925,0.1600385837288578
Bernoulli(0.5),50,8,5,0.34457965940237045,0.12196300224610468
Bernoulli(0.5),50,8,6,0.34553157538175583,0.11516806757284309
Bernoulli(0.5),50,8,7,0.3435479933395982,0.15579002664100028
Bernoulli(0.5),50,9,0,0.35833993274718523,-0.11668001925017635
Bernoulli(0.5),50,9,1,0.35257771238684654,-0.1236626226446003
Bernoulli(0.5),50,9,2,0.3432600600644946,-0.11404052676406605
Bernoulli(0.5),50,9,3,0.3823098111897707,-0.007486645721717851
Bernoulli(0.5),50,9,4,0.33758925646543503,-0.09835274205662997
