distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,59,PE-betting,Uniformly randomized,0.2348137279041111,0.8302911450155079,0.5954774171113968,1.883064933266138,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,60,PE-betting,Deterministic,0.0384335475973784,0.7470598709769547,0.7086263233795762,2.240873191830488,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,60,PE-betting,Uniformly randomized,0.1177420993335545,0.7081193341873586,0.5903772348538041,1.8669367408501656,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,61,PE-betting,Deterministic,0.2180596156977117,0.8490051119588315,0.6309454962611198,1.995224847610391,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,61,PE-betting,Uniformly randomized,0.2741657155565917,0.8270411673001945,0.5528754517436028,1.748345689904296,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,62,PE-betting,Deterministic,0.1749919396825134,0.8339298511855304,0.658937911503017,2.083744636983999,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,62,PE-betting,Uniformly randomized,0.1826115646399557,0.7604030533693731,0.5777914887294173,1.8271371170444664,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,63,PE-betting,Deterministic,0.2342516812495887,0.8568881279788911,0.6226364467293024,1.9689493258986923,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,63,PE-betting,Uniformly randomized,0.2407257645390927,0.7553109466098249,0.5145851820707321,1.6272612255159544,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,64,PE-betting,Deterministic,0.1783812795765698,0.8892596461810172,0.7108783666044474,2.247994777810231,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,64,PE-betting,Uniformly randomized,0.2160106166265905,0.8396676615811884,0.623657044954598,1.972176740866552,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,65,PE-betting,Deterministic,0.1369414343498647,0.7693532151170075,0.6324117807671428,1.9998616463472385,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,65,PE-betting,Uniformly randomized,0.1766499490477144,0.7284813798032701,0.5518314307555556,1.7450442056570477,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,66,PE-betting,Deterministic,0.2331551951356232,0.9373057852499188,0.7041505901142955,2.226719680512818,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,66,PE-betting,Uniformly randomized,0.2846576604060828,0.868908894713968,0.5842512343078852,1.8475646261776268,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,67,PE-betting,Deterministic,0.1526480368338525,0.9646418620832264,0.8119938252493739,2.567749933780762,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,67,PE-betting,Uniformly randomized,0.1659576375968754,0.8769465913064778,0.7109889537096024,2.2483444849423657,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,68,PE-betting,Deterministic,0.1772071146406233,0.8268015398643911,0.6495944252237678,2.05419793905504,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,68,PE-betting,Uniformly randomized,0.3156240521930158,0.7957602269016206,0.4801361747086048,1.5183238991197232,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,69,PE-betting,Deterministic,0.0463603320531547,0.7551017650403082,0.7087414329871535,2.241237200371,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,69,PE-betting,Uniformly randomized,0.1422445732168853,0.724849367979914,0.5826047947630286,1.8423581271861087,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,70,PE-betting,Deterministic,0.1560234627686441,0.8428580141626298,0.6868345513939857,2.171961558104972,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,70,PE-betting,Uniformly randomized,0.2732390644960105,0.7786256656982005,0.5053866012021899,1.598172758730111,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,71,PE-betting,Deterministic,0.2437269887886941,0.9065105556510388,0.6627835668623447,2.0959056670155083,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,71,PE-betting,Uniformly randomized,0.420081993099302,0.8518426609225571,0.431760667823255,1.36534711439686,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,72,PE-betting,Deterministic,0.08757179742679,0.767047441098839,0.679475643672049,2.148690648612651,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,72,PE-betting,Uniformly randomized,0.200938228983432,0.7400009441189468,0.5390627151355147,1.7046659815027492,False,False,False,0.1,61,0.5,10.0,0.05
"Beta(2,2)",10,73,PE-betting,Deterministic,0.1645504892803728,0.806224996689707,0.6416745074093342,2.029152959880087,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,73,PE-betting,Uniformly randomized,0.18557591130957,0.7836490399204195,0.5980731286108494,1.8912732937530992,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,74,PE-betting,Deterministic,0.2084211301989853,0.8397908215411007,0.6313696913421154,1.9965662702385767,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,74,PE-betting,Uniformly randomized,0.2379313395358622,0.8068322553299367,0.5689009157940745,1.7990226568649343,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,75,PE-betting,Deterministic,0.1426192359067499,0.7743168300949037,0.6316975941881537,1.997603190083309,False,False,False,0.2,61,0.5,10.0,0.05
"Beta(2,2)",10,75,PE-betting,Uniformly randomized,0.1849215212278068,0.7105547427199781,0.5256332214921713,1.662198193767031,False,False,False,0.2,61,0.5,10.0,0.05
"Beta(2,2)",10,76,PE-betting,Deterministic,0.1350748208351433,0.8350019645877182,0.6999271437525749,2.2133639704342296,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,76,PE-betting,Uniformly randomized,0.1999310138635337,0.7707673204131424,0.5708363065496087,1.8051428998148564,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,77,PE-betting,Deterministic,0.1691725770942866,0.8006213032640517,0.631448726169765,1.996816200308428,False,False,False,0.1,61,0.5,10.0,0.05
