distribution,true_mean,true_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333333333333333,3,40,0.004,aGRAPA,0.4577804224704036,0.6899391789104171,0.2321587564400135,1.2975604534323475
"Uniform(0,1)",0.5,0.08333333333333333,3,75,0.0075,aGRAPA,0.4241370225766145,0.6190007956076319,0.19486377303101737,1.4913317890130477
"Uniform(0,1)",0.5,0.08333333333333333,3,125,0.0125,aGRAPA,0.4404065592954878,0.597244701695444,0.1568381423999562,1.5495986619052187
"Uniform(0,1)",0.5,0.08333333333333333,3,200,0.02,aGRAPA,0.45541041855732534,0.5814664266840316,0.12605600812670625,1.5754008816392606
"Uniform(0,1)",0.5,0.08333333333333333,3,350,0.035,aGRAPA,0.4516518697954908,0.5500116565735713,0.0983597867780805,1.6261632312825764
"Uniform(0,1)",0.5,0.08333333333333333,3,500,0.05,aGRAPA,0.4621564082399838,0.5453903762733618,0.08323396803337807,1.6447433451573503
"Uniform(0,1)",0.5,0.08333333333333333,3,1000,0.1,aGRAPA,0.46956339125131435,0.5298538868613263,0.06029049561001193,1.6848505742578288
"Uniform(0,1)",0.5,0.08333333333333333,3,2000,0.2,aGRAPA,0.4771678019322952,0.5204620320912374,0.04329423015894224,1.7110297302917352
"Uniform(0,1)",0.5,0.08333333333333333,3,5000,0.5,aGRAPA,0.4894917975954731,0.5181595142326318,0.028667716637158724,1.7913920461200166
"Uniform(0,1)",0.5,0.08333333333333333,3,10000,1.0,aGRAPA,0.49301796144268406,0.5138221508842444,0.020804189441560372,1.8384987381044482
"Uniform(0,1)",0.5,0.08333333333333333,3,10,0.001,PRECiSE-A-CO96,0.14014930797368125,0.9185171932884215,0.7783678853147402,2.1751912391621033
"Uniform(0,1)",0.5,0.08333333333333333,3,20,0.002,PRECiSE-A-CO96,0.2571572747023565,0.8777491541220652,0.6205918794197087,2.4526389594328535
"Uniform(0,1)",0.5,0.08333333333333333,3,40,0.004,PRECiSE-A-CO96,0.36391675468666884,0.7737676902065587,0.4098509355198898,2.2907013023662164
"Uniform(0,1)",0.5,0.08333333333333333,3,75,0.0075,PRECiSE-A-CO96,0.36499763597841056,0.6636597476591288,0.29866211168071827,2.285721426795545
"Uniform(0,1)",0.5,0.08333333333333333,3,125,0.0125,PRECiSE-A-CO96,0.4014986419332969,0.6252458240944048,0.2237471821611079,2.2106761070769534
"Uniform(0,1)",0.5,0.08333333333333333,3,200,0.02,PRECiSE-A-CO96,0.4292349993532706,0.599642032279071,0.1704070329258004,2.1296834153195796
"Uniform(0,1)",0.5,0.08333333333333333,3,350,0.035,PRECiSE-A-CO96,0.43388987153505176,0.5608686071570703,0.12697873562201856,2.099314748304168
"Uniform(0,1)",0.5,0.08333333333333333,3,500,0.05,PRECiSE-A-CO96,0.4489348335376876,0.5536794385216497,0.1047446049839621,2.0698039040914287
"Uniform(0,1)",0.5,0.08333333333333333,3,1000,0.1,PRECiSE-A-CO96,0.4615206202186071,0.5353089211445612,0.07378830092595406,2.0620540589478593
"Uniform(0,1)",0.5,0.08333333333333333,3,2000,0.2,PRECiSE-A-CO96,0.47231129208747197,0.5242441404787836,0.05193284839131168,2.052436254208674
