distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",50,25,Chronological GE,0.08087825821712613,0.22399771539494395,False,0.14311945717781782,1.3946071116780696
"Beta(1,5)",50,25,Exact Bernoulli rounding,0.018084449660754186,0.2294898112374991,False,0.21140536157674492,2.060009355230406
"Beta(1,5)",50,25,Symmetric empirical-variance bound,0.0,0.9237549240389761,False,0.9237549240389761,9.001397936492884
"Beta(1,5)",50,25,Optimistic hard-boundary benchmark (not valid),0.07766390003392751,0.24239770899954194,False,0.16473380896561443,1.6052250759435513
"Beta(1,5)",50,26,Chronological GE,0.12395111145451665,0.2630560523830354,False,0.13910494092851877,1.3554882313970775
"Beta(1,5)",50,26,Exact Bernoulli rounding,0.12136051822381887,0.4453274523793456,False,0.32396693415552674,3.156849524383637
"Beta(1,5)",50,26,Symmetric empirical-variance bound,0.0,0.9846971320531842,False,0.9846971320531842,9.595240579372554
"Beta(1,5)",50,26,Optimistic hard-boundary benchmark (not valid),0.11020854256639451,0.28807759686160317,False,0.17786905429520866,1.7332195982224372
"Beta(1,5)",50,27,Chronological GE,0.12306956900283694,0.2572988993488252,False,0.13422933034598827,1.3079785403582007
"Beta(1,5)",50,27,Exact Bernoulli rounding,0.03960915546976521,0.2839962903252864,False,0.2443871348555212,2.3813955348410993
"Beta(1,5)",50,27,Symmetric empirical-variance bound,0.0,0.9956690451164062,False,0.9956690451164062,9.702154819325767
"Beta(1,5)",50,27,Optimistic hard-boundary benchmark (not valid),0.09484612898239883,0.2875089964909864,False,0.19266286750858755,1.8773757983859247
"Beta(1,5)",50,28,Chronological GE,0.08048407966271043,0.24077061982825398,False,0.16028654016554356,1.561889300232657
"Beta(1,5)",50,28,Exact Bernoulli rounding,0.007056649546614071,0.19950001217492974,False,0.19244336262831568,1.8752368644274564
"Beta(1,5)",50,28,Symmetric empirical-variance bound,0.0,0.9512415769671737,False,0.9512415769671737,9.26923770060172
"Beta(1,5)",50,28,Optimistic hard-boundary benchmark (not valid),0.0896666825952003,0.2618283840818916,False,0.17216170148669127,1.677605113842966
"Beta(1,5)",50,29,Chronological GE,0.11869207443669438,0.2763329711742699,False,0.15764089673757553,1.5361092056713397
"Beta(1,5)",50,29,Exact Bernoulli rounding,0.05624261545794363,0.32187658938996466,False,0.26563397393202104,2.5884323239755873
"Beta(1,5)",50,29,Symmetric empirical-variance bound,0.0,1.0,False,1.0,9.74435719068826
"Beta(1,5)",50,29,Optimistic hard-boundary benchmark (not valid),0.11706344599546903,0.31116888463879633,False,0.1941054386433273,1.8914327267958053
"Beta(1,5)",50,30,Chronological GE,0.07992701837792993,0.2579755005426705,False,0.17804848216474056,1.7349680074731202
"Beta(1,5)",50,30,Exact Bernoulli rounding,0.12275519466736029,0.44575315707317237,False,0.3229979624058121,3.1474075175467315
"Beta(1,5)",50,30,Symmetric empirical-variance bound,0.0,0.9856897836469825,False,0.9856897836469825,9.60491333106843
"Beta(1,5)",50,30,Optimistic hard-boundary benchmark (not valid),0.08673687609550021,0.2788257467789772,False,0.192088870683477,1.8717825682957265
"Beta(1,5)",50,31,Chronological GE,0.11271378165110946,0.22571519343182445,False,0.11300141178071499,1.1011261194433353
"Beta(1,5)",50,31,Exact Bernoulli rounding,0.05782848947033668,0.3136643135956322,False,0.2558358241252955,2.49295565245098
"Beta(1,5)",50,31,Symmetric empirical-variance bound,0.0,0.9734059003389517,False,0.9734059003389517,9.485214784426244
"Beta(1,5)",50,31,Optimistic hard-boundary benchmark (not valid),0.09720441370052404,0.2766648306145413,False,0.17946041691401723,1.748726404000017
"Beta(1,5)",50,32,Chronological GE,0.11462917039170861,0.2491114749573171,False,0.1344823045656085,1.310443611514216
