distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",50,32,Exact Bernoulli rounding,0.09318049258042738,0.386569581199574,False,0.29338908861914664,2.858888075355457
"Beta(1,5)",50,32,Symmetric empirical-variance bound,0.0,0.990128954233015,False,0.990128954233015,9.648170194889127
"Beta(1,5)",50,32,Optimistic hard-boundary benchmark (not valid),0.11485552249642392,0.2928946186740605,False,0.1780390961776366,1.734876547062192
"Beta(1,5)",50,33,Chronological GE,0.08923612302169204,0.23657727474346757,False,0.14734115172177553,1.4357448112643734
"Beta(1,5)",50,33,Exact Bernoulli rounding,0.018838016531657904,0.23011509200252445,False,0.21127707547086655,2.0587592895921247
"Beta(1,5)",50,33,Symmetric empirical-variance bound,0.0,0.9370299583766917,False,0.9370299583766917,9.130754612798237
"Beta(1,5)",50,33,Optimistic hard-boundary benchmark (not valid),0.082985277562659,0.25156773458555526,False,0.16858245702289626,1.6427276773149537
"Beta(1,5)",50,34,Chronological GE,0.11945807049050927,0.16342618456110358,False,0.04396811407059431,0.4284410085047974
"Beta(1,5)",50,34,Exact Bernoulli rounding,0.10217951481058475,0.3805751134311454,False,0.2783955986205607,2.7127861532742235
"Beta(1,5)",50,34,Symmetric empirical-variance bound,0.0,0.9712273576906005,False,0.9712273576906005,9.463986286705563
"Beta(1,5)",50,34,Optimistic hard-boundary benchmark (not valid),0.09593515582733031,0.27498225044637703,False,0.17904709461904672,1.7446988439229494
"Beta(1,5)",50,35,Chronological GE,0.11324121011421084,0.26891350047662854,False,0.1556722903624177,1.5169264019839357
"Beta(1,5)",50,35,Exact Bernoulli rounding,0.10154890062999905,0.3989691982887357,False,0.2974202976587367,2.8981696161475536
"Beta(1,5)",50,35,Symmetric empirical-variance bound,0.0,1.0,False,1.0,9.74435719068826
"Beta(1,5)",50,35,Optimistic hard-boundary benchmark (not valid),0.1059893073896484,0.2959474425421331,False,0.18995813515248472,1.851019920202847
"Beta(1,5)",50,36,Chronological GE,0.09987941337749362,0.22634446760639548,False,0.12646505422890186,1.2323206605461807
"Beta(1,5)",50,36,Exact Bernoulli rounding,0.04478804450434089,0.2892187923231374,False,0.24443074781879653,2.381820515133399
"Beta(1,5)",50,36,Symmetric empirical-variance bound,0.0,0.967781904810736,False,0.967781904810736,9.430412563160477
"Beta(1,5)",50,36,Optimistic hard-boundary benchmark (not valid),0.09665695835460164,0.2734669977593157,False,0.17681003940471407,1.7229001788592002
"Beta(1,5)",50,37,Chronological GE,0.10719595896080136,0.224556275177747,False,0.11736031621694565,1.1436008412300425
"Beta(1,5)",50,37,Exact Bernoulli rounding,0.0751363369368217,0.34288832093336075,False,0.26775198399653904,2.6090709705777235
"Beta(1,5)",50,37,Symmetric empirical-variance bound,0.0,0.9509745895609302,False,0.9509745895609302,9.266636079949867
"Beta(1,5)",50,37,Optimistic hard-boundary benchmark (not valid),0.08794541580431503,0.26096145100842194,False,0.1730160352041069,1.6859300467455125
"Beta(1,5)",50,38,Chronological GE,0.09976379526779056,0.23291454231366515,False,0.1331507470458746,1.2974684394219818
"Beta(1,5)",50,38,Exact Bernoulli rounding,0.06807842655701246,0.3414970859489317,False,0.2734186593919192,2.6642890797139924
"Beta(1,5)",50,38,Symmetric empirical-variance bound,0.0,0.9673916230718411,False,0.9673916230718411,9.426609518491682
"Beta(1,5)",50,38,Optimistic hard-boundary benchmark (not valid),0.0995419916656147,0.2744739599904261,False,0.17493196832481142,1.7045995834271273
"Beta(1,5)",50,39,Chronological GE,0.08866523811593652,0.19996869890019298,False,0.11130346078425646,1.0845806784415581
"Beta(1,5)",50,39,Exact Bernoulli rounding,0.032894992130796656,0.26174580611737985,False,0.2288508139865832,2.2300040748650236
"Beta(1,5)",50,39,Symmetric empirical-variance bound,0.0,0.9449915481113238,False,0.9449915481113238,9.208335186978209
"Beta(1,5)",50,39,Optimistic hard-boundary benchmark (not valid),0.08267058207154501,0.25559682781756765,False,0.17292624574602264,1.685055106193981
"Beta(1,5)",50,40,Chronological GE,0.12132601579651237,0.2661674083210528,False,0.14484139252454042,1.4113862647558064
"Beta(1,5)",50,40,Exact Bernoulli rounding,0.03634969610114592,0.28100286719697026,False,0.24465317109582435,2.3839878869922813
"Beta(1,5)",50,40,Symmetric empirical-variance bound,0.0,0.9843669110393412,False,0.9843669110393412,9.592022787861795
"Beta(1,5)",50,40,Optimistic hard-boundary benchmark (not valid),0.11714140487368438,0.29081286702175013,False,0.17367146214806575,1.6923167609998486
"Beta(1,5)",50,41,Chronological GE,0.08856349950656295,0.24019755562767386,False,0.15163405612111092,1.4775764051169744
"Beta(1,5)",50,41,Exact Bernoulli rounding,0.03498290278763315,0.28023350916627976,False,0.2452506063786466,2.389809509786421
"Beta(1,5)",50,41,Symmetric empirical-variance bound,0.0,0.959762780568119,False,0.959762780568119,9.35227135218391
"Beta(1,5)",50,41,Optimistic hard-boundary benchmark (not valid),0.08490550711546957,0.2643067782482208,False,0.17940127113275123,1.7481500663810388
