distribution,population_mean,population_variance,population_size,n,sampling_fraction,method,calibration,sqrt_n_mean_width,sqrt_n_standard_error,gaussian_sqrt_n_width,num_simulations
"Beta(2,2)",0.5,0.0499997232432935,4000,3200,0.8,WSR running intersection,Uniformly randomized Markov,0.6467096248207675,0.003414544002141344,0.5152288425827894,200
"Beta(2,2)",0.5,0.0499997232432935,4000,3600,0.9,WSR running intersection,Uniformly randomized Markov,0.5151160129532183,0.0025632252003429264,0.3643218084531866,200
"Beta(2,2)",0.5,0.0499997232432935,4000,400,0.1,Bardenet--Maillard EBS,As published,4.650101535780537,0.002563973138800198,1.09296542535956,200
"Beta(2,2)",0.5,0.0499997232432935,4000,1200,0.3,Bardenet--Maillard EBS,As published,3.165480198450183,0.0012353228310319363,0.9639049023644412,200
"Beta(2,2)",0.5,0.0499997232432935,4000,2000,0.5,Bardenet--Maillard EBS,As published,2.5516588529323054,0.0007417459760283899,0.814648329386983,200
"Beta(2,2)",0.5,0.0499997232432935,4000,2800,0.7,Bardenet--Maillard EBS,As published,2.073664013620886,0.00034465940165647987,0.6310238825462958,200
"Beta(2,2)",0.5,0.0499997232432935,4000,3200,0.8,Bardenet--Maillard EBS,As published,1.8313271693105282,0.0002150052804483267,0.5152288425827894,200
"Beta(2,2)",0.5,0.0499997232432935,4000,3600,0.9,Bardenet--Maillard EBS,As published,1.5514084382144104,0.00010905470558907864,0.3643218084531866,200
"Beta(2,2)",0.5,0.0499997232432935,4000,400,0.1,Shekhar--Ramdas AS-CI,As published,5.866770748565495,0.003796928242986222,1.09296542535956,200
"Beta(2,2)",0.5,0.0499997232432935,4000,1200,0.3,Shekhar--Ramdas AS-CI,As published,5.159697584642649,0.0018998143169012148,0.9639049023644412,200
"Beta(2,2)",0.5,0.0499997232432935,4000,2000,0.5,Shekhar--Ramdas AS-CI,As published,4.321610516800217,0.0010500645672775904,0.814648329386983,200
"Beta(2,2)",0.5,0.0499997232432935,4000,2800,0.7,Shekhar--Ramdas AS-CI,As published,3.285212349793903,0.0005702358443114711,0.6310238825462958,200
"Beta(2,2)",0.5,0.0499997232432935,4000,3200,0.8,Shekhar--Ramdas AS-CI,As published,2.635396914388614,0.00036628568850301447,0.5152288425827894,200
"Beta(2,2)",0.5,0.0499997232432935,4000,3600,0.9,Shekhar--Ramdas AS-CI,As published,1.79891515002061,0.00016917471562955997,0.3643218084531866,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,400,0.1,Bridge-efficient betting,Deterministic Markov,0.7644095760583878,0.0038899654663436126,0.6884525168019503,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,1200,0.3,Bridge-efficient betting,Deterministic Markov,0.6424232526212831,0.0017133893833460615,0.6071580496448257,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,2000,0.5,Bridge-efficient betting,Deterministic Markov,0.5379509566710654,0.0011614964555829907,0.5131422089499924,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,2800,0.7,Bridge-efficient betting,Deterministic Markov,0.41653492653325375,0.0008717228970978902,0.39747824589988134,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,3200,0.8,Bridge-efficient betting,Deterministic Markov,0.34287670620015065,0.0006914289543521859,0.3245396287704031,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,3600,0.9,Bridge-efficient betting,Deterministic Markov,0.24725005131214917,0.0006399253469656629,0.22948417226731677,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,400,0.1,Bridge-efficient betting,Uniformly randomized Markov,0.7184248752705753,0.004321057948073264,0.6884525168019503,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,1200,0.3,Bridge-efficient betting,Uniformly randomized Markov,0.6183152748839702,0.0019009528328652874,0.6071580496448257,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,2000,0.5,Bridge-efficient betting,Uniformly randomized Markov,0.5198267398874858,0.0014297719831550652,0.5131422089499924,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,4000,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,0.40141449197711493,0.0010860227143909937,0.39747824589988134,200
