distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,calibration,normalized_width
"Uniform(0,1)",0.5,0.08333332812500001,4,2000,0.5,WSR running intersection,0.025709989946335554,Uniformly randomized Markov,1.0932542396917118
"Uniform(0,1)",0.5,0.08333332812500001,4,2000,0.5,Bardenet--Maillard EBS,0.06446541264590122,As published,2.7412334985627758
"Uniform(0,1)",0.5,0.08333332812500001,4,2000,0.5,Shekhar--Ramdas AS-CI,0.09685200217817602,As published,4.118393753748374
"Uniform(0,1)",0.5,0.08333332812500001,4,2800,0.7,Bridge-efficient betting,0.015727181173861404,Deterministic Markov,1.0215474542865457
"Uniform(0,1)",0.5,0.08333332812500001,4,2800,0.7,Bridge-efficient betting,0.015457632299512691,Uniformly randomized Markov,1.0040391059466427
"Uniform(0,1)",0.5,0.08333332812500001,4,2800,0.7,WSR running intersection,0.01979325022548445,Deterministic Markov,1.2856559707918593
"Uniform(0,1)",0.5,0.08333332812500001,4,2800,0.7,WSR running intersection,0.01939903451129782,Uniformly randomized Markov,1.260049979812598
"Uniform(0,1)",0.5,0.08333332812500001,4,2800,0.7,Bardenet--Maillard EBS,0.04402951410034972,As published,2.8599046164381776
"Uniform(0,1)",0.5,0.08333332812500001,4,2800,0.7,Shekhar--Ramdas AS-CI,0.062095079403938824,As published,4.033340087303151
"Uniform(0,1)",0.5,0.08333332812500001,4,3200,0.8,Bridge-efficient betting,0.012034033611416861,Deterministic Markov,1.023435504543961
"Uniform(0,1)",0.5,0.08333332812500001,4,3200,0.8,Bridge-efficient betting,0.011399300210177765,Uniformly randomized Markov,0.9694545435691015
"Uniform(0,1)",0.5,0.08333332812500001,4,3200,0.8,WSR running intersection,0.015987285599112444,Deterministic Markov,1.3596401864702472
"Uniform(0,1)",0.5,0.08333332812500001,4,3200,0.8,WSR running intersection,0.012035038694739209,Uniformly randomized Markov,1.0235209819483233
"Uniform(0,1)",0.5,0.08333332812500001,4,3200,0.8,Bardenet--Maillard EBS,0.03607597511104821,As published,3.0680846490791835
"Uniform(0,1)",0.5,0.08333332812500001,4,3200,0.8,Shekhar--Ramdas AS-CI,0.04648179294986149,As published,3.9530483922379953
"Uniform(0,1)",0.5,0.08333332812500001,4,3600,0.9,Bridge-efficient betting,0.008084546215831934,Deterministic Markov,1.0313264740542916
"Uniform(0,1)",0.5,0.08333332812500001,4,3600,0.9,Bridge-efficient betting,0.007964193914085538,Uniformly randomized Markov,1.0159734150586786
"Uniform(0,1)",0.5,0.08333332812500001,4,3600,0.9,WSR running intersection,0.01205313391983498,Deterministic Markov,1.5375898380671722
"Uniform(0,1)",0.5,0.08333332812500001,4,3600,0.9,WSR running intersection,0.010715882666409104,Uniformly randomized Markov,1.3669998527666218
"Uniform(0,1)",0.5,0.08333332812500001,4,3600,0.9,Bardenet--Maillard EBS,0.028358625401624815,As published,3.6176428909775926
"Uniform(0,1)",0.5,0.08333332812500001,4,3600,0.9,Shekhar--Ramdas AS-CI,0.029959037310581582,As published,3.8218036598116703
"Uniform(0,1)",0.5,0.08333332812500001,5,400,0.1,Bridge-efficient betting,0.07202386250719417,Deterministic Markov,1.0208793444275646
"Uniform(0,1)",0.5,0.08333332812500001,5,400,0.1,Bridge-efficient betting,0.06927664931863564,Uniformly randomized Markov,0.9819398443603716
"Uniform(0,1)",0.5,0.08333332812500001,5,400,0.1,WSR running intersection,0.08090819707140295,Deterministic Markov,1.146807520588329
