distribution,population_mean,population_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333325,3,500,0.5,Hedged-WoR,0.4772475612525938,0.5373649549846647,0.06011739373207092,1.6791737713723516
"Uniform(0,1)",0.5,0.08333325,3,650,0.65,Hedged-WoR,0.48398786489486656,0.5336124986839291,0.04962463378906257,1.888928279688439
"Uniform(0,1)",0.5,0.08333325,3,800,0.8,Hedged-WoR,0.48598146188735925,0.5259618495750424,0.039980387687683194,2.233430766265625
"Uniform(0,1)",0.5,0.08333325,3,900,0.9,Hedged-WoR,0.48936606681632944,0.5220786813526148,0.03271261453628538,2.741144995431196
"Uniform(0,1)",0.5,0.08333325,3,950,0.95,Hedged-WoR,0.49045988021469056,0.5183529972848888,0.02789311707019826,3.396013028339575
"Uniform(0,1)",0.5,0.08333325,4,10,0.01,Stitched bridge-efficient,0.354913074889183,0.9755568378353119,0.6206437629461289,1.7422894051165951
"Uniform(0,1)",0.5,0.08333325,4,20,0.02,Stitched bridge-efficient,0.3993673824062346,0.8114835904827118,0.4121162080764772,1.6444366701295845
"Uniform(0,1)",0.5,0.08333325,4,40,0.04,Stitched bridge-efficient,0.4316632610473634,0.7248718219909669,0.2932085609436035,1.671731489825787
"Uniform(0,1)",0.5,0.08333325,4,75,0.075,Stitched bridge-efficient,0.4458768637838364,0.654816715604305,0.2089398518204686,1.6617915461345631
"Uniform(0,1)",0.5,0.08333325,4,125,0.125,Stitched bridge-efficient,0.4578408670597076,0.6157081943922043,0.15786732733249664,1.6666282311060443
"Uniform(0,1)",0.5,0.08333325,4,200,0.2,Stitched bridge-efficient,0.4662095001068114,0.5798858096923827,0.11367630958557129,1.5875794477486176
"Uniform(0,1)",0.5,0.08333325,4,350,0.35,Stitched bridge-efficient,0.4737952732887265,0.5502233558740613,0.07642808258533484,1.5664834311619806
"Uniform(0,1)",0.5,0.08333325,4,500,0.5,Stitched bridge-efficient,0.4809645860214231,0.5402029304523466,0.05923834443092346,1.6546205358011532
"Uniform(0,1)",0.5,0.08333325,4,650,0.65,Stitched bridge-efficient,0.483411707321167,0.5229432988557815,0.039531591534614496,1.504743420540535
"Uniform(0,1)",0.5,0.08333325,4,800,0.8,Stitched bridge-efficient,0.48588080862045285,0.5163545534896851,0.03047374486923221,1.7023596640920038
"Uniform(0,1)",0.5,0.08333325,4,900,0.9,Stitched bridge-efficient,0.4879632305622098,0.5087907981395718,0.02082756757736204,1.7452405881029251
"Uniform(0,1)",0.5,0.08333325,4,950,0.95,Stitched bridge-efficient,0.49498414043998706,0.5082208925924299,0.013236752152442799,1.6115869248125645
"Uniform(0,1)",0.5,0.08333325,4,10,0.01,Hedged-WoR,0.35530276767253877,0.8698443501377104,0.5145415824651717,1.4444362469148164
"Uniform(0,1)",0.5,0.08333325,4,20,0.02,Hedged-WoR,0.408676882862091,0.777215691684723,0.36853880882263207,1.4705530132446254
"Uniform(0,1)",0.5,0.08333325,4,40,0.04,Hedged-WoR,0.46781383096313484,0.7182951313171388,0.250481300354004,1.4281215939490957
"Uniform(0,1)",0.5,0.08333325,4,75,0.075,Hedged-WoR,0.47337007690095895,0.661137145942688,0.18776706904172907,1.4933949902679242
"Uniform(0,1)",0.5,0.08333325,4,125,0.125,Hedged-WoR,0.48171929241943356,0.6283706796340942,0.14665138721466064,1.5482199274080284
"Uniform(0,1)",0.5,0.08333325,4,200,0.2,Hedged-WoR,0.48362135198974593,0.5997307231750487,0.11610937118530279,1.6215590746816368
"Uniform(0,1)",0.5,0.08333325,4,350,0.35,Hedged-WoR,0.48698971210384345,0.572394939645767,0.08540522754192359,1.7504805740699456
"Uniform(0,1)",0.5,0.08333325,4,500,0.5,Hedged-WoR,0.49091179657173134,0.5590314714927671,0.06811967492103577,1.9026901257829012
